tract_id,mhi,year_usd
22001960100,31000,2012
22001960200,54000,2012
22001960300,42000,2012
22001960400,43000,2012
22001960500,58000,2012
22001960600,38000,2012
22001960700,23000,2012
22001960800,37000,2012
22001960900,31000,2012
22001961000,29000,2012
22001961100,44000,2012
22001961200,44000,2012
22003950100,44000,2012
22003950200,33000,2012
22003950300,24000,2012
22003950400,42000,2012
22003950500,43000,2012
22005030101,76000,2012
22005030102,64000,2012
22005030103,62000,2012
22005030203,103000,2012
22005030204,76000,2012
22005030205,77000,2012
22005030206,61000,2012
22005030300,85000,2012
22005030401,54000,2012
22005030402,48000,2012
22005030500,57000,2012
22005030600,48000,2012
22005030900,29000,2012
22005031000,43000,2012
22007050100,32000,2012
22007050200,47000,2012
22007050300,37000,2012
22007050400,59000,2012
22007050500,49000,2012
22007050600,48000,2012
22009030100,32000,2012
22009030200,49000,2012
22009030300,29000,2012
22009030400,36000,2012
22009030500,31000,2012
22009030600,33000,2012
22009030700,36000,2012
22009030800,42000,2012
22009030900,33000,2012
22011960100,46000,2012
22011960200,48000,2012
22011960300,40000,2012
22011960400,41000,2012
22011960500,49000,2012
22011960600,44000,2012
22011960700,50000,2012
22013970100,22000,2012
22013970200,32000,2012
22013970300,30000,2012
22013970400,29000,2012
22013970500,41000,2012
22015010400,35000,2012
22015010500,45000,2012
22015010601,34000,2012
22015010602,28000,2012
22015010701,34000,2012
22015010702,41000,2012
22015010801,31000,2012
22015010804,60000,2012
22015010805,46000,2012
22015010806,64000,2012
22015010900,40000,2012
22015011001,61000,2012
22015011002,66000,2012
22015011103,81000,2012
22015011105,63000,2012
22015011106,46000,2012
22015011107,40000,2012
22015011108,82000,2012
22015011109,72000,2012
22015011110,62000,2012
22015011200,40000,2012
22015011300,17000,2012
22017020500,26000,2012
22017020600,11000,2012
22017020700,18000,2012
22017021000,37000,2012
22017021100,22000,2012
22017021200,36000,2012
22017021300,28000,2012
22017021400,48000,2012
22017021500,42000,2012
22017021600,35000,2012
22017021700,25000,2012
22017021800,23000,2012
22017021900,26000,2012
22017022000,25000,2012
22017022100,22000,2012
22017022200,26000,2012
22017022300,16000,2012
22017022400,24000,2012
22017022500,28000,2012
22017022600,100000,2012
22017022700,58000,2012
22017022800,68000,2012
22017022900,53000,2012
22017023000,61000,2012
22017023100,151000,2012
22017023200,27000,2012
22017023300,20000,2012
22017023400,34000,2012
22017023500,19000,2012
22017023600,26000,2012
22017023700,27000,2012
22017023800,42000,2012
22017023901,45000,2012
22017023903,53000,2012
22017023904,52000,2012
22017023905,42000,2012
22017024000,122000,2012
22017024102,50000,2012
22017024104,40000,2012
22017024106,39000,2012
22017024107,55000,2012
22017024108,48000,2012
22017024109,58000,2012
22017024201,46000,2012
22017024202,61000,2012
22017024203,53000,2012
22017024301,49000,2012
22017024303,40000,2012
22017024304,44000,2012
22017024400,55000,2012
22017024503,42000,2012
22017024504,50000,2012
22017024601,19000,2012
22017024602,20000,2012
22017024700,78000,2012
22017024800,40000,2012
22017024900,42000,2012
22017025000,25000,2012
22017025100,24000,2012
22017025200,14000,2012
22017025300,17000,2012
22017025405,58000,2012
22017025406,44000,2012
22019000100,25000,2012
22019000200,38000,2012
22019000300,17000,2012
22019000400,16000,2012
22019000500,61000,2012
22019000600,23000,2012
22019000700,29000,2012
22019000800,27000,2012
22019000900,41000,2012
22019001000,54000,2012
22019001100,28000,2012
22019001201,34000,2012
22019001202,22000,2012
22019001300,56000,2012
22019001400,31000,2012
22019001500,29000,2012
22019001600,28000,2012
22019001700,40000,2012
22019001801,65000,2012
22019001901,78000,2012
22019001903,51000,2012
22019001904,76000,2012
22019002000,55000,2012
22019002100,50000,2012
22019002201,61000,2012
22019002203,71000,2012
22019002204,59000,2012
22019002300,62000,2012
22019002400,39000,2012
22019002500,62000,2012
22019002600,45000,2012
22019002700,42000,2012
22019002800,28000,2012
22019002900,45000,2012
22019003000,42000,2012
22019003101,59000,2012
22019003102,74000,2012
22019003200,42000,2012
22019003300,53000,2012
22019003400,79000,2012
22019003500,36000,2012
22019003600,34000,2012
22021000100,49000,2012
22021000200,39000,2012
