gbs_code,value_per_sqft,value_year_usd,sales_per_sqft,sales_year_usd,inv_as_pct_of_sales,csvr
AGR1,75.95,2005,128,2006,8,1
COM1,82.63,2005,46,2006,13,1
COM10,43.72,2005,0,2006,0,0.5
COM2,75.95,2005,66,2006,10,1
COM3,102.3,2005,0,2006,0,1
COM4,133.4,2005,0,2006,0,1
COM5,191.5,2005,0,2006,0,1
COM6,224.3,2005,0,2006,0,1.5
COM7,164.2,2005,0,2006,0,1.5
COM8,170.5,2005,0,2006,0,1
COM9,122.1,2005,0,2006,0,1
EDU1,115.3,2005,0,2006,0,1
EDU2,144.7,2005,0,2006,0,1.5
GOV1,107.3,2005,0,2006,0,1
GOV2,166.6,2005,0,2006,0,1.5
IND1,88.28,2005,616,2006,5,1.5
IND2,75.95,2005,196,2006,4,1.5
IND3,145.1,2005,602,2006,5,1.5
IND4,145.1,2005,567,2006,3,1.5
IND5,145.1,2005,378,2006,4,1.5
IND6,75.95,2005,664,2006,2,1
REL1,138.6,2005,0,2006,0,1
RES1,0,2005,0,2006,0,0.5
RES2,35.75,2005,0,2006,0,0.5
RES3A,79.48,2005,0,2006,0,0.5
RES3B,86.6,2005,0,2006,0,0.5
RES3C,154.3,2005,0,2006,0,0.5
RES3D,137.7,2005,0,2006,0,0.5
RES3E,135.4,2005,0,2006,0,0.5
RES3F,131.9,2005,0,2006,0,0.5
RES4,132.5,2005,0,2006,0,0.5
RES5,151,2005,0,2006,0,0.5
RES6,127,2005,0,2006,0,0.5
